id,alpha,sugar,age,vision,metabolism,x,y
15,0.691,716.1,200,3,0.5937877680754614,20,29
33,0.798,255.7,200,3,0.5937877680754614,18,11
53,0.504,242.0,26,3,0.5937877680754614,4,24
52,-0.784,88.2,57,3,0.5937877680754614,6,17
40,-0.603,905.8,200,3,0.5937877680754614,5,23
1,-0.999,684.9,200,3,0.5937877680754614,5,9
29,-0.851,175.0,200,3,0.5937877680754614,19,6
0,-0.163,99.2,200,3,0.5937877680754614,6,22
35,0.829,247.3,200,3,0.5937877680754614,21,24
9,-0.523,159.2,200,3,0.5937877680754614,22,6
28,0.254,283.0,200,3,0.5937877680754614,2,17
4,-0.145,257.7,200,3,0.5937877680754614,4,17
49,-0.105,72.7,120,3,0.5937877680754614,5,16
12,-0.233,116.2,200,3,0.5937877680754614,8,17
32,0.518,144.2,200,3,0.5937877680754614,4,22
25,-0.24,201.2,200,3,0.5937877680754614,24,6
51,-0.047,60.2,104,3,0.5937877680754614,6,18
