id,x,y,vision,metabolism,sugar,alpha
0,5,4,5,0.973180418445447,15,0.932
1,3,15,5,0.973180418445447,15,0.299
2,6,16,5,0.973180418445447,15,0.113
3,16,4,5,0.973180418445447,15,-0.056
4,0,2,5,0.973180418445447,15,-0.152
5,4,15,5,0.973180418445447,15,0.345
6,4,1,5,0.973180418445447,15,0.396
7,9,10,5,0.973180418445447,15,0.397
8,3,7,5,0.973180418445447,15,-0.456
9,0,18,5,0.973180418445447,15,0.797
10,4,11,5,0.973180418445447,15,0.306
11,5,6,5,0.973180418445447,15,-0.196
12,19,8,5,0.973180418445447,15,-0.947
13,3,9,5,0.973180418445447,15,0.145
14,18,15,5,0.973180418445447,15,0.394
15,4,10,5,0.973180418445447,15,-0.057
16,10,13,5,0.973180418445447,15,-0.778
17,0,11,5,0.973180418445447,15,-0.155
18,10,0,5,0.973180418445447,15,0.6
19,12,15,5,0.973180418445447,15,-0.144
20,8,4,5,0.973180418445447,15,0.532
21,6,14,5,0.973180418445447,15,0.129
22,7,18,5,0.973180418445447,15,-0.671
23,4,5,5,0.973180418445447,15,-0.446
24,18,13,5,0.973180418445447,15,0.138
25,17,12,5,0.973180418445447,15,0.153
26,0,14,5,0.973180418445447,15,0.059
27,1,3,5,0.973180418445447,15,-0.946
28,0,10,5,0.973180418445447,15,-0.265
29,2,19,5,0.973180418445447,15,-0.103
30,14,3,5,0.973180418445447,15,0.855
31,18,2,5,0.973180418445447,15,-0.035
32,6,2,5,0.973180418445447,15,0.715
33,19,6,5,0.973180418445447,15,0.707
34,11,1,5,0.973180418445447,15,-0.21
35,17,13,5,0.973180418445447,15,-0.928
36,19,0,5,0.973180418445447,15,0.498
37,12,13,5,0.973180418445447,15,-0.828
38,7,14,5,0.973180418445447,15,-0.363
39,3,1,5,0.973180418445447,15,-0.86
40,4,6,5,0.973180418445447,15,0.856
41,3,4,5,0.973180418445447,15,-0.525
42,10,6,5,0.973180418445447,15,0.64
43,1,2,5,0.973180418445447,15,0.128
44,2,12,5,0.973180418445447,15,0.642
45,0,8,5,0.973180418445447,15,0.258
46,4,3,5,0.973180418445447,15,-0.746
47,2,3,5,0.973180418445447,15,0.521
48,17,16,5,0.973180418445447,15,-0.09
49,10,14,5,0.973180418445447,15,-0.202
