id,x,y,vision,metabolism,sugar,alpha
0,4,14,1,1.016494833826007,15,0.467
1,17,16,1,1.016494833826007,15,-0.562
2,19,9,1,1.016494833826007,15,0.147
3,12,0,1,1.016494833826007,15,-0.503
4,4,3,1,1.016494833826007,15,-0.154
5,12,10,1,1.016494833826007,15,0.545
6,8,12,1,1.016494833826007,15,0.924
7,19,19,1,1.016494833826007,15,-0.895
8,13,17,1,1.016494833826007,15,0.82
9,6,2,1,1.016494833826007,15,0.126
10,17,19,1,1.016494833826007,15,0.066
11,4,15,1,1.016494833826007,15,0.875
12,10,8,1,1.016494833826007,15,0.165
13,19,15,1,1.016494833826007,15,0.386
14,15,12,1,1.016494833826007,15,-0.461
15,17,0,1,1.016494833826007,15,0.085
16,4,0,1,1.016494833826007,15,-0.601
17,2,9,1,1.016494833826007,15,-0.874
18,11,1,1,1.016494833826007,15,-0.126
19,10,2,1,1.016494833826007,15,-0.049
20,13,9,1,1.016494833826007,15,0.434
21,5,8,1,1.016494833826007,15,-0.121
22,3,3,1,1.016494833826007,15,0.43
23,15,14,1,1.016494833826007,15,0.302
24,19,2,1,1.016494833826007,15,0.294
25,7,7,1,1.016494833826007,15,-0.186
26,16,18,1,1.016494833826007,15,0.743
27,5,11,1,1.016494833826007,15,-0.28
28,3,19,1,1.016494833826007,15,0.701
29,3,5,1,1.016494833826007,15,0.187
30,19,13,1,1.016494833826007,15,-0.838
31,11,16,1,1.016494833826007,15,0.443
32,14,3,1,1.016494833826007,15,0.532
33,14,18,1,1.016494833826007,15,-0.741
34,12,19,1,1.016494833826007,15,-0.947
35,16,3,1,1.016494833826007,15,-0.313
36,18,10,1,1.016494833826007,15,0.946
37,16,16,1,1.016494833826007,15,0.713
38,7,0,1,1.016494833826007,15,-0.547
39,8,17,1,1.016494833826007,15,-0.938
40,13,16,1,1.016494833826007,15,-0.483
41,3,14,1,1.016494833826007,15,-0.561
42,0,15,1,1.016494833826007,15,0.185
43,4,8,1,1.016494833826007,15,-0.199
44,8,18,1,1.016494833826007,15,-0.554
45,5,7,1,1.016494833826007,15,0.209
46,9,11,1,1.016494833826007,15,0.852
47,1,3,1,1.016494833826007,15,-0.144
48,3,2,1,1.016494833826007,15,0.834
49,16,13,1,1.016494833826007,15,0.932
