id,alpha,sugar,age,vision,metabolism,x,y
58,0.036,47.8,103,3,0.5937877680754614,6,11
4,0.028,638.4,200,3,0.5937877680754614,4,12
15,0.065,86.6,200,3,0.5937877680754614,3,11
13,0.209,94.2,200,3,0.5937877680754614,5,12
19,-0.029,167.1,200,3,0.5937877680754614,6,10
0,0.317,58.2,200,3,0.5937877680754614,7,12
48,0.647,807.3,200,3,0.5937877680754614,8,10
59,0.289,34.6,68,3,0.5937877680754614,4,11
37,0.844,430.2,200,3,0.5937877680754614,8,11
18,0.213,613.9,200,3,0.5937877680754614,5,6
9,0.157,147.2,200,3,0.5937877680754614,6,13
