id,alpha,sugar,age,vision,metabolism,x,y
14,0.63,203.7,200,5,0.973180418445447,5,28
56,0.817,491.7,69,5,0.973180418445447,5,18
2,-0.564,231.5,200,5,0.973180418445447,6,8
44,0.715,86.9,200,5,0.973180418445447,19,2
9,0.683,622.3,200,5,0.973180418445447,0,8
10,0.296,115.8,200,5,0.973180418445447,11,8
41,-0.122,224.7,200,5,0.973180418445447,26,27
31,0.389,208.4,200,5,0.973180418445447,28,27
42,0.825,149.7,200,5,0.973180418445447,20,12
21,-0.265,344.1,200,5,0.973180418445447,0,28
52,0.067,194.9,177,5,0.973180418445447,22,21
8,-0.322,88.4,200,5,0.973180418445447,1,28
