id,alpha,sugar,age,vision,metabolism,x,y
47,-0.807,33.8,57,3,1.1265367845598036,7,20
9,0.925,444.0,200,3,1.1265367845598036,23,26
20,-0.412,33.7,200,3,1.1265367845598036,5,20
2,0.25,19.7,200,3,1.1265367845598036,8,25
25,0.717,5.7,200,3,1.1265367845598036,3,20
40,0.956,55.1,200,3,1.1265367845598036,21,6
23,-0.231,18.3,200,3,1.1265367845598036,4,20
46,0.051,86.9,200,3,1.1265367845598036,5,25
33,0.943,230.7,200,3,1.1265367845598036,4,8
1,0.487,58.1,200,3,1.1265367845598036,6,26
37,-0.041,41.7,200,3,1.1265367845598036,7,26
10,-0.82,49.4,200,3,1.1265367845598036,5,21
48,-0.241,17.0,0,3,1.1265367845598036,5,21
