step,agent_id,alpha,x,y,sugar,metabolism,age,decision,target_x,target_y,target_alpha,collected,in_house,alive
0,40,0.956,21,4,17.9,1.1265367845598036,1,"1,(23,4)-START",23,4,,4,False,True
0,49,-0.357,12,7,15.9,1.1265367845598036,1,"1,(12,7)-START",,,,2,False,True
0,39,-0.817,3,28,16.9,1.1265367845598036,1,"1,(1,28)-START",1,28,,3,False,True
0,47,-0.358,1,2,16.9,1.1265367845598036,1,"1,(1,2)-START",,,,3,False,True
0,7,0.846,21,1,16.9,1.1265367845598036,1,"1,(21,1)-START",,,,3,False,True
0,8,-0.496,4,10,16.9,1.1265367845598036,1,"1,(4,10)-START",,,,3,False,True
0,22,-0.089,5,18,16.9,1.1265367845598036,1,"1,(5,19)-START",5,19,,3,False,True
0,24,0.225,27,16,14.9,1.1265367845598036,1,"1,(27,16)-START",,,,1,False,True
0,4,-0.578,22,4,17.9,1.1265367845598036,1,"1,(22,4)-START",,,,4,False,True
0,31,-0.275,19,22,16.9,1.1265367845598036,1,"1,(18,21)-START",18,21,,3,False,True
0,15,0.287,25,22,17.9,1.1265367845598036,1,2-STAY,,,,4,False,True
0,43,0.712,23,14,15.9,1.1265367845598036,1,"1,(23,16)-START",23,16,,2,False,True
0,17,0.824,28,11,15.9,1.1265367845598036,1,"1,(28,12)-START",28,12,,2,False,True
0,32,-0.122,7,14,14.9,1.1265367845598036,1,"1,(7,14)-START",,,,1,False,True
0,6,-0.184,1,19,15.9,1.1265367845598036,1,"1,(1,19)-START",,,,2,False,True
0,30,0.248,2,0,16.9,1.1265367845598036,1,"1,(4,0)-START",4,0,,3,False,True
0,42,0.321,20,22,16.9,1.1265367845598036,1,"1,(20,22)-START",,,,3,False,True
0,23,-0.231,2,18,15.9,1.1265367845598036,1,"1,(2,18)-START",,,,2,False,True
0,21,0.671,12,12,16.9,1.1265367845598036,1,"1,(12,12)-START",,,,3,False,True
0,1,0.487,10,27,16.9,1.1265367845598036,1,"1,(8,27)-START",8,27,,3,False,True
0,27,-0.398,10,10,16.9,1.1265367845598036,1,"1,(10,10)-START",,,,3,False,True
0,12,0.753,11,22,15.9,1.1265367845598036,1,"1,(10,22)-START",10,22,,2,False,True
0,16,-0.88,18,22,15.9,1.1265367845598036,1,"1,(18,22)-START",,,,2,False,True
0,44,0.299,29,12,14.9,1.1265367845598036,1,"1,(29,11)-START",29,11,,1,False,True
0,10,-0.82,4,13,15.9,1.1265367845598036,1,"1,(4,13)-START",,,,2,False,True
