id,alpha,sugar,age,vision,metabolism,x,y
34,0.037,40.7,200,3,1.1265367845598036,21,20
35,-0.012,107.3,200,3,1.1265367845598036,4,9
3,0.59,25.7,200,3,1.1265367845598036,3,9
56,0.737,36.8,57,3,1.1265367845598036,7,22
55,-0.006,19.6,66,3,1.1265367845598036,28,21
54,0.21,38.3,69,3,1.1265367845598036,2,2
4,-0.578,161.6,200,3,1.1265367845598036,18,5
57,0.637,12.4,52,3,1.1265367845598036,2,10
20,-0.412,130.1,200,3,1.1265367845598036,6,10
10,-0.82,20.7,200,3,1.1265367845598036,6,8
43,0.712,19.7,200,3,1.1265367845598036,3,20
36,0.195,82.7,200,3,1.1265367845598036,4,2
26,0.041,19.7,200,3,1.1265367845598036,5,21
51,-0.251,28.9,119,3,1.1265367845598036,6,20
12,0.753,166.9,200,3,1.1265367845598036,7,20
50,0.436,238.5,171,3,1.1265367845598036,19,28
45,0.533,24.7,200,3,1.1265367845598036,6,9
53,-0.381,35.8,73,3,1.1265367845598036,4,20
41,-0.673,173.3,200,3,1.1265367845598036,19,22
52,-0.022,15.8,73,3,1.1265367845598036,5,19
2,0.25,158.4,200,3,1.1265367845598036,5,28
33,0.943,27.5,200,3,1.1265367845598036,4,10
30,0.248,117.5,200,3,1.1265367845598036,0,9
46,0.051,186.3,200,3,1.1265367845598036,3,21
18,0.253,322.3,200,3,1.1265367845598036,5,11
58,-0.007,13.2,22,3,1.1265367845598036,22,20
