id,alpha,sugar,age,vision,metabolism,x,y
45,0.813,146.2,200,3,0.5937877680754614,5,12
4,0.028,143.2,200,3,0.5937877680754614,4,11
6,0.202,143.2,200,3,0.5937877680754614,9,12
2,-0.982,878.3,200,3,0.5937877680754614,11,16
41,0.16,197.2,200,3,0.5937877680754614,11,12
16,-0.376,359.2,200,3,0.5937877680754614,7,12
26,0.659,111.2,200,3,0.5937877680754614,11,13
14,0.618,1444.9,200,3,0.5937877680754614,5,4
19,-0.029,122.2,200,3,0.5937877680754614,3,12
54,0.159,486.4,119,3,0.5937877680754614,6,11
32,-0.959,141.2,200,3,0.5937877680754614,8,13
