id,alpha,sugar,age,vision,metabolism,x,y
15,0.065,174.9,200,3,0.5937877680754614,2,14
54,-0.103,76.2,89,3,0.5937877680754614,11,15
28,-0.647,522.9,200,3,0.5937877680754614,5,5
13,0.209,142.7,200,3,0.5937877680754614,6,16
47,-0.766,62.8,200,3,0.5937877680754614,4,15
3,-0.145,82.2,200,3,0.5937877680754614,4,16
35,-0.093,154.4,200,3,0.5937877680754614,5,14
31,-0.112,208.6,200,3,0.5937877680754614,3,14
20,-0.702,198.1,200,3,0.5937877680754614,9,15
57,0.774,581.6,59,3,0.5937877680754614,4,5
4,0.028,394.5,200,3,0.5937877680754614,5,12
49,0.044,97.2,200,3,0.5937877680754614,1,15
52,-0.008,99.4,129,3,0.5937877680754614,6,13
23,-0.269,155.3,200,3,0.5937877680754614,11,16
58,-0.725,39.7,41,3,0.5937877680754614,4,13
41,0.16,144.2,200,3,0.5937877680754614,6,15
6,0.202,403.9,200,3,0.5937877680754614,8,14
50,-0.135,135.7,175,3,0.5937877680754614,2,15
51,0.241,147.1,138,3,0.5937877680754614,7,14
