id,alpha,sugar,age,vision,metabolism,x,y
2,-0.457,126.7,200,3,1.1265367845598036,6,3
65,0.483,27.5,20,3,1.1265367845598036,3,16
61,-0.967,75.5,67,3,1.1265367845598036,7,16
64,0.508,55.0,32,3,1.1265367845598036,5,15
34,0.533,21.7,200,3,1.1265367845598036,3,17
66,-0.055,29.5,20,3,1.1265367845598036,15,5
4,0.226,67.6,200,3,1.1265367845598036,7,5
54,0.497,91.0,114,3,1.1265367845598036,3,5
63,0.225,44.4,36,3,1.1265367845598036,5,13
67,0.564,82.7,10,3,1.1265367845598036,5,4
60,0.312,26.6,74,3,1.1265367845598036,8,12
58,-0.847,145.4,76,3,1.1265367845598036,4,14
1,0.798,26.7,200,3,1.1265367845598036,5,5
27,-0.012,51.7,200,3,1.1265367845598036,14,5
50,0.583,71.9,175,3,1.1265367845598036,6,5
44,0.627,65.0,200,3,1.1265367845598036,10,6
19,0.317,31.3,200,3,1.1265367845598036,4,16
8,-0.366,31.7,200,3,1.1265367845598036,6,10
7,-0.177,308.6,200,3,1.1265367845598036,7,4
57,0.336,41.3,77,3,1.1265367845598036,5,14
52,0.564,18.0,134,3,1.1265367845598036,1,16
16,-0.089,64.7,200,3,1.1265367845598036,5,16
15,0.671,266.6,200,3,1.1265367845598036,6,14
41,0.817,138.1,200,3,1.1265367845598036,4,10
56,-0.056,25.5,83,3,1.1265367845598036,12,6
46,-0.894,134.5,200,3,1.1265367845598036,5,12
30,0.57,81.1,200,3,1.1265367845598036,8,5
43,0.574,39.7,200,3,1.1265367845598036,3,14
53,0.922,77.7,129,3,1.1265367845598036,4,3
14,-0.412,157.4,200,3,1.1265367845598036,6,11
