id,x,y,vision,metabolism,sugar,alpha
0,4,14,1,1.016494833826007,15,0.467
1,20,17,1,1.016494833826007,15,0.009
2,27,28,1,1.016494833826007,15,0.205
3,18,11,1,1.016494833826007,15,-0.2
4,7,23,1,1.016494833826007,15,-0.724
5,13,23,1,1.016494833826007,15,-0.248
6,24,11,1,1.016494833826007,15,-0.463
7,12,19,1,1.016494833826007,15,0.241
8,21,13,1,1.016494833826007,15,0.376
9,29,19,1,1.016494833826007,15,-0.587
10,24,29,1,1.016494833826007,15,-0.869
11,8,17,1,1.016494833826007,15,0.191
12,10,4,1,1.016494833826007,15,-0.025
13,7,10,1,1.016494833826007,15,-0.49
14,13,19,1,1.016494833826007,15,-0.021
15,22,15,1,1.016494833826007,15,0.527
16,8,29,1,1.016494833826007,15,0.553
17,17,0,1,1.016494833826007,15,0.085
18,4,0,1,1.016494833826007,15,-0.601
19,2,27,1,1.016494833826007,15,0.884
20,26,9,1,1.016494833826007,15,-0.874
21,22,22,1,1.016494833826007,15,-0.252
22,21,1,1,1.016494833826007,15,-0.126
23,10,26,1,1.016494833826007,15,-0.852
24,6,24,1,1.016494833826007,15,-0.147
25,5,8,1,1.016494833826007,15,-0.121
26,3,3,1,1.016494833826007,15,0.43
27,15,27,1,1.016494833826007,15,-0.087
28,2,21,1,1.016494833826007,15,0.208
29,20,29,1,1.016494833826007,15,-0.537
30,13,10,1,1.016494833826007,15,0.05
31,27,0,1,1.016494833826007,15,0.337
32,11,11,1,1.016494833826007,15,0.761
33,19,27,1,1.016494833826007,15,0.447
34,5,18,1,1.016494833826007,15,-0.474
35,19,13,1,1.016494833826007,15,-0.838
36,11,22,1,1.016494833826007,15,0.353
37,16,23,1,1.016494833826007,15,-0.731
38,21,3,1,1.016494833826007,15,0.532
39,14,29,1,1.016494833826007,15,0.708
40,4,23,1,1.016494833826007,15,0.321
41,19,0,1,1.016494833826007,15,-0.489
42,3,10,1,1.016494833826007,15,0.2
43,10,13,1,1.016494833826007,15,0.899
44,29,23,1,1.016494833826007,15,0.297
45,16,27,1,1.016494833826007,15,0.078
46,29,7,1,1.016494833826007,15,-0.983
47,1,10,1,1.016494833826007,15,-0.844
48,14,8,1,1.016494833826007,15,0.975
49,28,25,1,1.016494833826007,15,0.119
