id,x,y,vision,metabolism,sugar,alpha
0,7,36,4,1.2800307334434837,15,-0.982
1,10,49,4,1.2800307334434837,15,0.027
2,19,44,4,1.2800307334434837,15,0.268
3,37,25,4,1.2800307334434837,15,0.532
4,42,20,4,1.2800307334434837,15,-0.283
5,21,18,4,1.2800307334434837,15,0.234
6,7,32,4,1.2800307334434837,15,-0.86
7,6,17,4,1.2800307334434837,15,0.918
8,6,40,4,1.2800307334434837,15,0.644
9,18,2,4,1.2800307334434837,15,-0.311
10,6,30,4,1.2800307334434837,15,-0.048
11,12,12,4,1.2800307334434837,15,-0.74
12,47,15,4,1.2800307334434837,15,0.553
13,2,43,4,1.2800307334434837,15,0.921
14,43,27,4,1.2800307334434837,15,0.42
15,47,45,4,1.2800307334434837,15,0.389
16,41,21,4,1.2800307334434837,15,-0.261
17,30,40,4,1.2800307334434837,15,-0.093
18,34,9,4,1.2800307334434837,15,-0.533
19,29,47,4,1.2800307334434837,15,0.368
20,22,39,4,1.2800307334434837,15,0.639
21,47,2,4,1.2800307334434837,15,-0.444
22,0,14,4,1.2800307334434837,15,0.766
23,37,48,4,1.2800307334434837,15,0.208
24,35,34,4,1.2800307334434837,15,-0.437
25,22,36,4,1.2800307334434837,15,-0.602
26,7,23,4,1.2800307334434837,15,-0.32
27,14,38,4,1.2800307334434837,15,0.433
28,27,48,4,1.2800307334434837,15,-0.904
29,39,30,4,1.2800307334434837,15,-0.755
30,11,41,4,1.2800307334434837,15,0.47
31,0,39,4,1.2800307334434837,15,0.299
32,41,4,4,1.2800307334434837,15,-0.456
33,0,27,4,1.2800307334434837,15,-0.452
34,44,33,4,1.2800307334434837,15,0.253
35,12,3,4,1.2800307334434837,15,-0.441
36,16,4,4,1.2800307334434837,15,0.993
37,48,38,4,1.2800307334434837,15,-0.34
38,31,4,4,1.2800307334434837,15,-0.432
39,19,25,4,1.2800307334434837,15,-0.194
40,35,28,4,1.2800307334434837,15,-0.854
41,16,8,4,1.2800307334434837,15,0.887
42,42,8,4,1.2800307334434837,15,-0.851
43,28,25,4,1.2800307334434837,15,0.302
44,28,5,4,1.2800307334434837,15,-0.452
45,36,49,4,1.2800307334434837,15,-0.733
46,47,34,4,1.2800307334434837,15,0.006
47,23,15,4,1.2800307334434837,15,-0.931
48,14,35,4,1.2800307334434837,15,-0.025
49,32,17,4,1.2800307334434837,15,0.728
