id,x,y,vision,metabolism,sugar,alpha
0,2,26,3,0.5937877680754614,15,0.317
1,6,0,3,0.5937877680754614,15,-0.472
2,30,46,3,0.5937877680754614,15,0.093
3,20,36,3,0.5937877680754614,15,-0.145
4,15,33,3,0.5937877680754614,15,0.028
5,28,15,3,0.5937877680754614,15,-0.933
6,23,45,3,0.5937877680754614,15,0.375
7,38,21,3,0.5937877680754614,15,0.116
8,48,12,3,0.5937877680754614,15,-0.523
9,46,2,3,0.5937877680754614,15,-0.749
10,6,23,3,0.5937877680754614,15,0.157
11,32,34,3,0.5937877680754614,15,0.626
12,6,41,3,0.5937877680754614,15,0.744
13,14,44,3,0.5937877680754614,15,0.691
14,13,30,3,0.5937877680754614,15,0.488
15,49,26,3,0.5937877680754614,15,0.209
16,43,18,3,0.5937877680754614,15,0.758
17,15,35,3,0.5937877680754614,15,0.844
18,22,34,3,0.5937877680754614,15,0.131
19,30,19,3,0.5937877680754614,15,0.125
20,25,16,3,0.5937877680754614,15,0.889
21,33,14,3,0.5937877680754614,15,0.213
22,40,13,3,0.5937877680754614,15,-0.24
23,16,38,3,0.5937877680754614,15,0.971
24,35,9,3,0.5937877680754614,15,-0.112
25,10,35,3,0.5937877680754614,15,0.254
26,48,5,3,0.5937877680754614,15,-0.851
27,32,39,3,0.5937877680754614,15,0.094
28,27,23,3,0.5937877680754614,15,0.837
29,2,38,3,0.5937877680754614,15,-0.47
30,41,38,3,0.5937877680754614,15,0.034
31,43,30,3,0.5937877680754614,15,0.829
32,40,20,3,0.5937877680754614,15,0.659
33,36,15,3,0.5937877680754614,15,-0.577
34,27,44,3,0.5937877680754614,15,-0.632
35,30,12,3,0.5937877680754614,15,-0.744
36,8,46,3,0.5937877680754614,15,0.57
37,22,33,3,0.5937877680754614,15,-0.215
38,17,28,3,0.5937877680754614,15,-0.999
39,7,26,3,0.5937877680754614,15,-0.866
40,1,16,3,0.5937877680754614,15,-0.917
41,11,47,3,0.5937877680754614,15,0.023
42,31,12,3,0.5937877680754614,15,0.566
43,31,33,3,0.5937877680754614,15,-0.093
44,36,0,3,0.5937877680754614,15,0.39
45,11,9,3,0.5937877680754614,15,0.844
46,21,40,3,0.5937877680754614,15,0.734
47,39,15,3,0.5937877680754614,15,0.424
48,24,7,3,0.5937877680754614,15,-0.956
49,19,3,3,0.5937877680754614,15,0.758
