id,alpha,sugar,age,vision,metabolism,x,y
16,0.488,69.2,200,3,0.5937877680754614,4,19
1,-0.999,319.7,200,3,0.5937877680754614,4,5
15,0.691,458.1,200,3,0.5937877680754614,9,24
0,-0.163,801.7,200,3,0.5937877680754614,4,27
56,0.083,155.3,77,3,0.5937877680754614,8,18
33,0.798,244.1,200,3,0.5937877680754614,19,10
22,0.559,310.6,200,3,0.5937877680754614,5,19
20,-0.477,201.2,200,3,0.5937877680754614,19,28
55,-0.206,149.1,84,3,0.5937877680754614,6,19
43,-0.112,223.2,200,3,0.5937877680754614,4,4
38,-0.137,164.8,200,3,0.5937877680754614,6,18
45,-0.472,263.3,200,3,0.5937877680754614,8,6
36,0.904,539.7,200,3,0.5937877680754614,27,28
47,-0.598,291.6,200,3,0.5937877680754614,18,23
41,0.461,230.9,200,3,0.5937877680754614,5,6
29,-0.851,522.3,200,3,0.5937877680754614,16,5
57,0.441,69.5,11,3,0.5937877680754614,5,18
53,-0.439,370.4,158,3,0.5937877680754614,6,5
