id,alpha,sugar,age,vision,metabolism,x,y
50,-0.246,19.6,173,4,1.2800307334434837,6,16
2,0.182,222.7,200,4,1.2800307334434837,6,15
16,0.16,18.2,200,4,1.2800307334434837,2,2
28,-0.432,180.4,200,4,1.2800307334434837,6,5
32,-0.208,22.3,200,4,1.2800307334434837,4,13
55,0.13,68.1,136,4,1.2800307334434837,11,11
36,-0.025,64.7,200,4,1.2800307334434837,4,14
48,-0.81,129.4,200,4,1.2800307334434837,4,0
39,-0.774,388.7,200,4,1.2800307334434837,12,17
54,-0.384,13.2,160,4,1.2800307334434837,3,1
41,0.83,122.1,200,4,1.2800307334434837,5,14
