id,x,y,vision,metabolism,sugar,alpha
0,1,13,3,0.5937877680754614,15,0.317
1,3,0,3,0.5937877680754614,15,-0.472
2,15,17,3,0.5937877680754614,15,-0.982
3,10,18,3,0.5937877680754614,15,-0.145
4,7,16,3,0.5937877680754614,15,0.028
5,14,7,3,0.5937877680754614,15,-0.933
6,11,11,3,0.5937877680754614,15,0.202
7,17,18,3,0.5937877680754614,15,0.524
8,7,1,3,0.5937877680754614,15,-0.749
9,3,11,3,0.5937877680754614,15,0.157
10,16,17,3,0.5937877680754614,15,0.626
11,3,7,3,0.5937877680754614,15,0.854
12,10,6,3,0.5937877680754614,15,-0.058
13,3,13,3,0.5937877680754614,15,0.209
14,9,7,3,0.5937877680754614,15,0.618
15,8,11,3,0.5937877680754614,15,0.065
16,1,15,3,0.5937877680754614,15,-0.376
17,12,8,3,0.5937877680754614,15,0.889
18,16,7,3,0.5937877680754614,15,0.213
19,6,12,3,0.5937877680754614,15,-0.029
20,19,17,3,0.5937877680754614,15,-0.702
21,0,5,3,0.5937877680754614,15,0.094
22,2,2,3,0.5937877680754614,15,-0.469
23,15,13,3,0.5937877680754614,15,-0.269
24,1,19,3,0.5937877680754614,15,-0.47
25,19,16,3,0.5937877680754614,15,0.887
26,15,10,3,0.5937877680754614,15,0.659
27,18,7,3,0.5937877680754614,15,-0.577
28,13,5,3,0.5937877680754614,15,-0.647
29,6,4,3,0.5937877680754614,15,-0.803
30,18,11,3,0.5937877680754614,15,0.055
31,3,8,3,0.5937877680754614,15,-0.112
32,2,11,3,0.5937877680754614,15,-0.959
33,1,4,3,0.5937877680754614,15,-0.638
34,16,15,3,0.5937877680754614,15,-0.598
35,15,16,3,0.5937877680754614,15,-0.093
36,18,0,3,0.5937877680754614,15,0.39
37,5,4,3,0.5937877680754614,15,0.844
38,10,1,3,0.5937877680754614,15,0.755
39,12,3,3,0.5937877680754614,15,-0.956
40,9,1,3,0.5937877680754614,15,0.758
41,4,17,3,0.5937877680754614,15,0.16
42,8,19,3,0.5937877680754614,15,0.717
43,18,2,3,0.5937877680754614,15,0.126
44,10,17,3,0.5937877680754614,15,-0.896
45,13,11,3,0.5937877680754614,15,0.813
46,18,15,3,0.5937877680754614,15,0.195
47,2,16,3,0.5937877680754614,15,-0.766
48,14,14,3,0.5937877680754614,15,0.647
49,13,18,3,0.5937877680754614,15,0.044
