id,alpha,sugar,age,vision,metabolism,x,y
30,0.245,592.1,200,3,0.5937877680754614,9,25
3,0.631,831.3,200,3,0.5937877680754614,5,25
43,-0.112,206.3,200,3,0.5937877680754614,6,17
28,0.254,279.2,200,3,0.5937877680754614,8,17
4,-0.145,119.2,200,3,0.5937877680754614,5,18
47,0.487,307.3,13,3,0.5937877680754614,21,24
16,0.488,117.2,200,3,0.5937877680754614,4,17
6,-0.933,1165.4,200,3,0.5937877680754614,6,5
2,0.448,306.0,200,3,0.5937877680754614,22,23
8,0.116,183.5,200,3,0.5937877680754614,19,10
