id,alpha,sugar,age,vision,metabolism,x,y
19,-0.522,478.6,200,3,0.5937877680754614,20,28
46,0.478,819.0,200,3,0.5937877680754614,5,5
25,-0.24,131.2,200,3,0.5937877680754614,18,5
6,-0.933,345.8,200,3,0.5937877680754614,19,6
36,0.904,353.6,200,3,0.5937877680754614,8,24
38,-0.137,31.2,200,3,0.5937877680754614,5,10
26,0.971,1280.3,200,3,0.5937877680754614,6,24
54,0.163,209.2,38,3,0.5937877680754614,21,10
29,-0.851,84.2,200,3,0.5937877680754614,22,5
53,0.83,129.8,162,3,0.5937877680754614,14,5
37,0.154,160.9,200,3,0.5937877680754614,19,5
27,-0.112,232.5,200,3,0.5937877680754614,15,5
