step,agent_id,alpha,x,y,sugar,metabolism,age,decision,target_x,target_y,target_alpha,collected,in_house,alive
0,43,0.001,18,16,14.2,1.757735522488605,1,"1,(18,15)-START",18,15,,1,False,True
0,4,-0.772,1,27,15.2,1.757735522488605,1,"1,(2,27)-START",2,27,,2,False,True
0,11,-0.06,26,5,0,1.757735522488605,0,"4,(25,5)",,,-0.775,0,False,False
0,3,0.394,8,11,14.2,1.757735522488605,1,"1,(8,11)-START",,,,1,False,True
0,44,0.407,10,18,15.2,1.757735522488605,1,"1,(9,17)-START",9,17,,2,False,True
0,48,0.974,24,21,17.2,1.757735522488605,1,"1,(24,22)-START",24,22,,4,False,True
0,49,-0.194,24,11,15.2,1.757735522488605,1,"1,(24,11)-START",,,,2,False,True
0,5,-0.935,17,7,14.2,1.757735522488605,1,"1,(17,6)-START",17,6,,1,False,True
0,2,-0.226,21,12,14.2,1.757735522488605,1,"1,(21,12)-START",,,,1,False,True
0,23,0.864,1,15,13.2,1.757735522488605,1,2-STAY,,,,0,False,True
0,19,0.98,17,11,15.2,1.757735522488605,1,"1,(17,11)-START",,,,2,False,True
0,14,-0.65,19,3,15.2,1.757735522488605,1,"1,(19,3)-START",,,,2,False,True
0,15,-0.968,15,29,13.2,1.757735522488605,1,"1,(15,29)-START",,,,0,False,True
0,18,0.556,27,17,14.2,1.757735522488605,1,"1,(29,17)-START",29,17,,1,False,True
0,34,0.333,10,17,14.2,1.757735522488605,1,"1,(10,18)-START",10,18,,1,False,True
0,9,0.297,26,24,17.2,1.757735522488605,1,"1,(26,25)-START",26,25,,4,False,True
0,33,-0.355,17,1,13.2,1.757735522488605,1,2-STAY,,,,0,False,True
0,22,0.079,14,26,14.2,1.757735522488605,1,"1,(14,25)-START",14,25,,1,False,True
0,42,0.452,22,13,13.2,1.757735522488605,1,"1,(21,14)-START",21,14,,0,False,True
0,39,-0.775,26,5,32.2,1.757735522488605,1,"1,(26,5)-START",,,,4,False,True
0,16,-0.17,12,29,13.2,1.757735522488605,1,"1,(12,29)-START",,,,0,False,True
0,28,-0.826,12,16,15.2,1.757735522488605,1,"1,(12,16)-START",,,,2,False,True
0,10,-0.941,24,23,18.2,1.757735522488605,1,"1,(24,23)-START",,,,5,False,True
0,17,-0.776,5,11,15.2,1.757735522488605,1,"1,(5,11)-START",,,,2,False,True
0,12,0.972,28,1,15.2,1.757735522488605,1,"1,(28,1)-START",,,,2,False,True
0,1,-0.315,16,19,13.2,1.757735522488605,1,"1,(16,19)-START",,,,0,False,True
0,38,-0.155,21,28,15.2,1.757735522488605,1,"1,(20,27)-START",20,27,,2,False,True
0,13,0.652,27,25,17.2,1.757735522488605,1,"1,(27,24)-START",27,24,,4,False,True
0,31,0.458,6,28,16.2,1.757735522488605,1,"1,(6,27)-START",6,27,,3,False,True
0,6,0.887,20,26,16.2,1.757735522488605,1,"1,(20,27)-START",20,27,,3,False,True
0,27,-0.945,25,21,17.2,1.757735522488605,1,"1,(25,21)-START",,,,4,False,True
0,45,0.457,21,14,13.2,1.757735522488605,1,"4,(21,13)-FAIL",,,,0,False,True
0,8,0.587,15,25,15.2,1.757735522488605,1,"1,(15,25)-START",,,,2,False,True
0,0,0.392,15,23,15.2,1.757735522488605,1,"1,(15,24)-START",15,24,,2,False,True
0,7,-0.401,10,19,16.2,1.757735522488605,1,"1,(10,19)-START",,,,3,False,True
0,30,0.716,18,28,14.2,1.757735522488605,1,"1,(18,27)-START",18,27,,1,False,True
0,46,-0.966,15,12,14.2,1.757735522488605,1,2-STAY,,,,1,False,True
0,37,-0.706,16,24,16.2,1.757735522488605,1,"1,(16,24)-START",,,,3,False,True
0,32,-0.574,17,15,14.2,1.757735522488605,1,"1,(17,16)-START",17,16,,1,False,True
0,26,0.661,28,17,13.2,1.757735522488605,1,"1,(28,17)-START",,,,0,False,True
0,29,0.16,18,26,15.2,1.757735522488605,1,"1,(18,26)-START",,,,2,False,True
0,35,0.103,14,5,16.2,1.757735522488605,1,"1,(14,5)-START",,,,3,False,True
0,21,-0.979,14,20,13.2,1.757735522488605,1,2-STAY,,,,0,False,True
0,41,0.321,0,22,15.2,1.757735522488605,1,"1,(0,22)-START",,,,2,False,True
0,36,-0.411,27,22,16.2,1.757735522488605,1,"1,(27,22)-START",,,,3,False,True
0,25,0.628,17,25,15.2,1.757735522488605,1,"1,(15,24)-START",15,24,,2,False,True
0,47,-0.441,25,22,17.2,1.757735522488605,1,"1,(25,21)-START",25,21,,4,False,True
0,20,0.038,14,3,14.2,1.757735522488605,1,"1,(14,3)-START",,,,1,False,True
0,24,0.079,21,27,16.2,1.757735522488605,1,"1,(21,27)-START",,,,3,False,True
0,40,0.917,14,27,13.2,1.757735522488605,1,"1,(14,26)-START",14,26,,0,False,True
1,12,0.972,27,1,15.5,1.757735522488605,2,"1,(27,1)-START",,,,2,False,True
1,16,-0.17,11,29,12.5,1.757735522488605,2,"1,(11,29)-START",,,,1,False,True
1,26,0.661,28,18,12.5,1.757735522488605,2,"1,(28,18)-START",,,,1,False,True
1,38,-0.155,20,28,15.5,1.757735522488605,2,TRAVELING,20,27,,2,False,True
