id,alpha,sugar,age,vision,metabolism,x,y
14,-0.015,48.3,200,3,1.1265367845598036,39,6
52,0.225,34.1,149,3,1.1265367845598036,3,5
4,-0.143,193.9,200,3,1.1265367845598036,39,44
48,-0.175,28.9,200,3,1.1265367845598036,4,41
53,0.238,19.4,147,3,1.1265367845598036,5,5
20,0.12,11.7,200,3,1.1265367845598036,39,7
59,-0.162,33.6,11,3,1.1265367845598036,2,40
51,0.398,44.5,162,3,1.1265367845598036,4,4
3,-0.578,61.0,200,3,1.1265367845598036,42,6
55,0.135,11.6,130,3,1.1265367845598036,37,6
6,-0.656,336.8,200,3,1.1265367845598036,6,4
22,0.717,87.2,200,3,1.1265367845598036,3,40
54,0.185,80.1,139,3,1.1265367845598036,7,4
58,0.397,42.2,38,3,1.1265367845598036,1,4
9,-0.343,100.7,200,3,1.1265367845598036,5,46
