id,alpha,sugar,age,vision,metabolism,x,y
54,0.12,14.6,90,3,1.1265367845598036,6,27
8,-0.496,9.7,200,3,1.1265367845598036,3,11
56,0.007,11.8,41,3,1.1265367845598036,3,20
37,-0.041,100.5,200,3,1.1265367845598036,4,27
46,0.051,24.7,200,3,1.1265367845598036,6,20
47,-0.358,213.1,200,3,1.1265367845598036,4,12
49,-0.357,16.7,200,3,1.1265367845598036,6,10
1,0.487,27.7,200,3,1.1265367845598036,5,28
36,0.195,93.6,200,3,1.1265367845598036,5,0
55,-0.802,51.2,69,3,1.1265367845598036,8,27
20,-0.412,5.7,200,3,1.1265367845598036,4,11
22,-0.089,51.7,200,3,1.1265367845598036,5,21
51,0.766,65.0,150,3,1.1265367845598036,7,21
53,-0.022,438.6,115,3,1.1265367845598036,21,29
52,-0.386,80.6,137,3,1.1265367845598036,18,11
0,0.615,26.8,200,3,1.1265367845598036,4,10
2,0.25,27.7,200,3,1.1265367845598036,6,26
6,-0.184,109.8,200,3,1.1265367845598036,4,20
