id,alpha,sugar,age,vision,metabolism,x,y
18,0.253,49.7,200,3,1.1265367845598036,0,8
30,0.248,667.0,200,3,1.1265367845598036,3,5
15,0.287,127.9,200,3,1.1265367845598036,14,21
22,-0.089,518.2,200,3,1.1265367845598036,5,22
63,0.293,21.3,116,3,1.1265367845598036,1,9
37,-0.041,219.5,200,3,1.1265367845598036,5,27
57,0.181,98.1,161,3,1.1265367845598036,4,22
58,0.272,122.2,158,3,1.1265367845598036,5,5
5,0.435,215.5,200,3,1.1265367845598036,22,29
65,0.288,129.4,5,3,1.1265367845598036,13,21
64,0.268,28.4,44,3,1.1265367845598036,0,10
4,-0.578,277.7,200,3,1.1265367845598036,18,6
36,0.195,222.3,200,3,1.1265367845598036,4,4
28,0.244,85.7,200,3,1.1265367845598036,6,4
44,0.299,153.5,200,3,1.1265367845598036,18,10
